previous_state,next_state
48750,73856
48750,221184
48750,98304
48750,98432
48750,245760
48750,237696
48750,254708
48750,1851392
48750,2089716
1011438,0
1011438,1
1011438,128
1011438,129
1011438,16384
1011438,16385
1011438,16386
1011438,16512
1011438,16513
1011438,648
1011438,147976
1011438,17032
1011438,148105
1011438,8192
1011438,8193
1011438,8320
1011438,8321
1011438,24576
1011438,155649
1011438,24704
1011438,156296
1011438,32768
1011438,32769
1011438,32896
1011438,32897
1011438,49152
1011438,180225
1011438,49280
1011438,180872
1011438,40960
1011438,41088
1011438,172161
1011438,188416
1011438,188544
1011438,65536
1011438,65537
1011438,65664
1011438,65665
1011438,81920
1011438,212993
1011438,82048
1011438,213640
1011438,73728
1011438,73856
1011438,221184
1011438,98304
1011438,98432
1011438,245760
1011438,237696
1011438,254708
1011438,1851392
1011438,2089716
7918,0
7918,1
7918,128
7918,129
7918,16384
7918,16385
7918,16386
7918,16512
7918,16513
7918,648
7918,147976
7918,17032
7918,148105
7918,8192
7918,8193
7918,8320
7918,8321
7918,24576
7918,155649
7918,24704
7918,156296
7918,32768
7918,32769
7918,32896
7918,32897
7918,49152
7918,180225
7918,49280
7918,180872
7918,40960
7918,41088
7918,172161
7918,188416
7918,188544
7918,65536
7918,65537
7918,65664
7918,65665
7918,81920
7918,212993
7918,82048
7918,213640
7918,73728
7918,73856
7918,221184
7918,98304
7918,98432
7918,245760
7918,237696
7918,254708
7918,1851392
7918,2089716
49184,0
49184,1
49184,128
49184,129
49184,16384
49184,16385
49184,16386
49184,16512
49184,16513
49184,648
49184,147976
49184,17032
49184,148105
49184,8192
49184,8193
49184,8320
49184,8321
49184,24576
49184,155649
49184,24704
49184,156296
49184,32768
49184,32769
49184,32896
49184,32897
49184,49152
49184,180225
49184,49280
49184,180872
49184,40960
49184,41088
49184,172161
49184,188416
49184,188544
49184,65536
49184,65537
49184,65664
49184,65665
49184,81920
49184,212993
49184,82048
49184,213640
49184,73728
49184,73856
49184,221184
49184,98304
49184,98432
49184,245760
49184,237696
49184,254708
49184,1851392
49184,2089716
53536,0
53536,1
53536,128
53536,129
53536,16384
53536,16385
53536,16386
53536,16512
53536,16513
53536,648
53536,147976
53536,17032
53536,148105
53536,8192
53536,8193
53536,8320
53536,8321
53536,24576
53536,155649
53536,24704
53536,156296
53536,32768
53536,32769
53536,32896
53536,32897
53536,49152
53536,180225
53536,49280
53536,180872
53536,40960
53536,41088
53536,172161
53536,188416
53536,188544
53536,65536
53536,65537
53536,65664
53536,65665
53536,81920
53536,212993
53536,82048
53536,213640
53536,73728
53536,73856
53536,221184
53536,98304
53536,98432
53536,245760
53536,237696
53536,254708
53536,1851392
53536,2089716
171630,0
171630,1
171630,128
171630,129
171630,16384
171630,16385
171630,16386
171630,16512
171630,16513
171630,648
171630,147976
171630,17032
171630,148105
171630,8192
171630,8193
171630,8320
171630,8321
171630,24576
171630,155649
171630,24704
171630,156296
171630,32768
171630,32769
171630,32896
171630,32897
171630,49152
171630,180225
171630,49280
171630,180872
171630,40960
171630,41088
171630,172161
171630,188416
171630,188544
171630,65536
171630,65537
171630,65664
171630,65665
171630,81920
171630,212993
171630,82048
171630,213640
171630,73728
171630,73856
171630,221184
171630,98304
171630,98432
171630,245760
171630,237696
171630,254708
171630,1851392
171630,2089716
32814,0
32814,1
32814,128
32814,129
32814,16384
32814,16385
32814,16386
32814,16512
32814,16513
32814,648
32814,147976
32814,17032
32814,148105
32814,8192
32814,8193
32814,8320
32814,8321
32814,24576
32814,155649
32814,24704
32814,156296
32814,32768
32814,32769
32814,32896
32814,32897
32814,49152
32814,180225
32814,49280
32814,180872
32814,40960
32814,41088
32814,172161
32814,188416
32814,188544
32814,65536
32814,65537
32814,65664
32814,65665
32814,81920
32814,212993
32814,82048
32814,213640
32814,73728
32814,73856
32814,221184
32814,98304
32814,98432
32814,245760
32814,237696
32814,254708
32814,1851392
32814,2089716
991278,0
991278,1
991278,128
991278,129
991278,16384
991278,16385
991278,16386
991278,16512
991278,16513
991278,648
991278,147976
991278,17032
991278,148105
991278,8192
991278,8193
991278,8320
991278,8321
991278,24576
991278,155649
991278,24704
991278,156296
991278,32768
991278,32769
991278,32896
991278,32897
991278,49152
991278,180225
991278,49280
991278,180872
991278,40960
991278,41088
991278,172161
991278,188416
991278,188544
991278,65536
991278,65537
991278,65664
991278,65665
991278,81920
991278,212993
991278,82048
991278,213640
991278,73728
991278,73856
991278,221184
991278,98304
991278,98432
991278,245760
991278,237696
991278,254708
991278,1851392
991278,2089716
35118,0
35118,1
35118,128
35118,129
35118,16384
35118,16385
35118,16386
35118,16512
35118,16513
35118,648
35118,147976
35118,17032
35118,148105
35118,8192
35118,8193
35118,8320
35118,8321
35118,24576
35118,155649
35118,24704
35118,156296
35118,32768
35118,32769
35118,32896
35118,32897
35118,49152
35118,180225
35118,49280
35118,180872
35118,40960
35118,41088
35118,172161
35118,188416
35118,188544
35118,65536
35118,65537
35118,65664
35118,65665
35118,81920
35118,212993
35118,82048
35118,213640
35118,73728
35118,73856
35118,221184
35118,98304
35118,98432
35118,245760
35118,237696
35118,254708
35118,1851392
35118,2089716
1007662,0
1007662,1
1007662,128
1007662,129
1007662,16384
1007662,16385
1007662,16386
1007662,16512
1007662,16513
1007662,648
1007662,147976
1007662,17032
1007662,148105
1007662,8192
1007662,8193
1007662,8320
1007662,8321
1007662,24576
1007662,155649
1007662,24704
1007662,156296
1007662,32768
1007662,32769
1007662,32896
