previous_state,next_state
32244,17032
32244,148105
32244,8192
32244,8193
32244,8320
32244,8321
32244,24576
32244,155649
32244,24704
32244,156296
32244,32768
32244,32769
32244,32896
32244,32897
32244,49152
32244,180225
32244,49280
32244,180872
32244,40960
32244,41088
32244,172161
32244,188416
32244,188544
32244,65536
32244,65537
32244,65664
32244,65665
32244,81920
32244,212993
32244,82048
32244,213640
32244,73728
32244,73856
32244,221184
32244,98304
32244,98432
32244,245760
32244,237696
32244,254708
32244,1851392
32244,2089716
33288,0
33288,1
33288,128
33288,129
33288,16384
33288,16385
33288,16386
33288,16512
33288,16513
33288,648
33288,147976
33288,17032
33288,148105
33288,8192
33288,8193
33288,8320
33288,8321
33288,24576
33288,155649
33288,24704
33288,156296
33288,32768
33288,32769
33288,32896
33288,32897
33288,49152
33288,180225
33288,49280
33288,180872
33288,40960
33288,41088
33288,172161
33288,188416
33288,188544
33288,65536
33288,65537
33288,65664
33288,65665
33288,81920
33288,212993
33288,82048
33288,213640
33288,73728
33288,73856
33288,221184
33288,98304
33288,98432
33288,245760
33288,237696
33288,254708
33288,1851392
33288,2089716
33289,0
33289,1
33289,128
33289,129
33289,16384
33289,16385
33289,16386
33289,16512
33289,16513
33289,648
33289,147976
33289,17032
33289,148105
33289,8192
33289,8193
33289,8320
33289,8321
33289,24576
33289,155649
33289,24704
33289,156296
33289,32768
33289,32769
33289,32896
33289,32897
33289,49152
33289,180225
33289,49280
33289,180872
33289,40960
33289,41088
33289,172161
33289,188416
33289,188544
33289,65536
33289,65537
33289,65664
33289,65665
33289,81920
33289,212993
33289,82048
33289,213640
33289,73728
33289,73856
33289,221184
33289,98304
33289,98432
33289,245760
33289,237696
33289,254708
33289,1851392
33289,2089716
48392,0
48392,1
48392,128
48392,129
48392,16384
48392,16385
48392,16386
48392,16512
48392,16513
48392,648
48392,147976
48392,17032
48392,148105
48392,8192
48392,8193
48392,8320
48392,8321
48392,24576
48392,155649
48392,24704
48392,156296
48392,32768
48392,32769
48392,32896
48392,32897
48392,49152
48392,180225
48392,49280
48392,180872
48392,40960
48392,41088
48392,172161
48392,188416
48392,188544
48392,65536
48392,65537
48392,65664
48392,65665
48392,81920
48392,212993
48392,82048
48392,213640
48392,73728
48392,73856
48392,221184
48392,98304
48392,98432
48392,245760
48392,237696
48392,254708
48392,1851392
48392,2089716
48628,0
48628,1
48628,128
48628,129
48628,16384
48628,16385
48628,16386
48628,16512
48628,16513
48628,648
48628,147976
48628,17032
48628,148105
48628,8192
48628,8193
48628,8320
48628,8321
48628,24576
48628,155649
48628,24704
48628,156296
48628,32768
48628,32769
48628,32896
48628,32897
48628,49152
48628,180225
48628,49280
48628,180872
48628,40960
48628,41088
48628,172161
48628,188416
48628,188544
48628,65536
48628,65537
48628,65664
48628,65665
48628,81920
48628,212993
48628,82048
48628,213640
48628,73728
48628,73856
48628,221184
48628,98304
48628,98432
48628,245760
48628,237696
48628,254708
48628,1851392
48628,2089716
64776,0
64776,1
64776,128
64776,129
64776,16384
64776,16385
64776,16386
64776,16512
64776,16513
64776,648
64776,147976
64776,17032
64776,148105
64776,8192
64776,8193
64776,8320
64776,8321
64776,24576
64776,155649
64776,24704
64776,156296
64776,32768
64776,32769
64776,32896
64776,32897
64776,49152
64776,180225
64776,49280
64776,180872
64776,40960
64776,41088
64776,172161
64776,188416
64776,188544
64776,65536
64776,65537
64776,65664
64776,65665
64776,81920
64776,212993
64776,82048
64776,213640
64776,73728
64776,73856
64776,221184
64776,98304
64776,98432
64776,245760
64776,237696
64776,254708
64776,1851392
64776,2089716
64777,0
64777,1
64777,128
64777,129
64777,16384
64777,16385
64777,16386
64777,16512
64777,16513
64777,648
64777,147976
64777,17032
64777,148105
64777,8192
64777,8193
64777,8320
64777,8321
64777,24576
64777,155649
64777,24704
64777,156296
64777,32768
64777,32769
64777,32896
64777,32897
64777,49152
64777,180225
64777,49280
64777,180872
64777,40960
64777,41088
64777,172161
64777,188416
64777,188544
64777,65536
64777,65537
64777,65664
64777,65665
64777,81920
64777,212993
64777,82048
64777,213640
64777,73728
64777,73856
64777,221184
64777,98304
64777,98432
64777,245760
64777,237696
64777,254708
64777,1851392
64777,2089716
65012,0
65012,1
65012,128
65012,129
65012,16384
65012,16385
65012,16386
65012,16512
65012,16513
65012,648
65012,147976
65012,17032
65012,148105
65012,8192
65012,8193
65012,8320
65012,8321
65012,24576
65012,155649
65012,24704
65012,156296
65012,32768
65012,32769
65012,32896
65012,32897
65012,49152
65012,180225
65012,49280
65012,180872
65012,40960
65012,41088
65012,172161
65012,188416
65012,188544
65012,65536
65012,65537
65012,65664
65012,65665
65012,81920
65012,212993
65012,82048
65012,213640
65012,73728
65012,73856
65012,221184
65012,98304
65012,98432
65012,245760
65012,237696
65012,254708
65012,1851392
65012,2089716
65013,0
65013,1
65013,128
65013,129
65013,16384
65013,16385
65013,16386
